sc_point_gid,latitude,longitude,timezone,elevation_m,resource,area_developable_sq_km,capacity_ac_mw,capacity_density_included_area_mw_per_km2,capacity_density_convex_hull_mw_per_km2,dist_spur_km
28312,44.063,-96.3704,-6,506.84616,7.9781914,35.172,252,7.6666117,2.5095105,2.34
28313,44.063305,-96.217445,-6,529.32434,8.298066,35.564404,258,7.77823,2.4651952,13.07183766
28314,44.06345,-96.06448,-6,539.8571,8.549403,40.895813,270,7.3746314,2.505344,1.44
28315,44.06344,-95.91154,-6,505.83334,8.357293,45.507603,264,6.087522,2.5385935,10.74727922
28316,44.063267,-95.758575,-6,486.17075,8.451538,40.8366,264,6.825674,2.7510674,15.46894803
28317,44.06294,-95.60563,-6,461.8095,8.401973,37.011597,252,7.292806,2.445062,23.70837662
28318,44.062458,-95.452675,-6,439.8,8.454238,15.9435005,192,12.508551,1.9822881,28.40555842
28319,44.061817,-95.29972,-6,430.17392,8.442415,2.6442,126,51.67959,1.4981774,30.77644153
28320,44.061016,-95.14678,-6,441.74194,8.729411,3.3534,144,48.309177,1.6336825,26.00470129
28321,44.060062,-94.993835,-6,385.04,8.47422,5.2137,144,30.080843,1.6561863,28.94975972
28322,44.05895,-94.840904,-6,359.9,8.312524,0.801,48,63.041763,4.739151,25.83393503
28323,44.05768,-94.68797,-6,320,7.8835125,0.36900002,0,0,0,24.70696752
28325,44.054665,-94.38213,-6,305.09525,7.7988734,15.410701,132,9.083777,3.2346227,5.600285707
28326,44.052925,-94.22923,-6,302.85367,7.815507,33.232124,258,8.260335,2.6505935,24.81990258
28327,44.051025,-94.07633,-6,296.43903,7.779366,22.93462,252,11.454754,2.35005,14.93424674
28328,44.04897,-93.92345,-6,303.7381,7.87765,39.904198,252,6.584362,2.3112748,12.6974935
28329,44.046753,-93.77057,-6,310.81818,7.872891,20.101501,186,9.579876,3.468743,19.41990258
28330,44.044384,-93.61771,-6,336.5,7.94849,0.0486,0,0,0,8.300285707
28331,44.04186,-93.46485,-6,351.42856,7.9432654,4.912119,54,12.531328,9.044095,25.70116882
28332,44.039173,-93.31201,-6,354.9762,7.947785,30.77084,222,7.5920796,2.556007,4.940954544
28333,44.03633,-93.15919,-6,374.61905,8.021703,34.438503,252,7.7429347,2.6476986,3.854558441
28334,44.033333,-93.00638,-6,388.55554,8.081349,12.967119,138,11.65324,4.2509465,1.902792206
28335,44.030178,-92.85358,-6,395.5,8.228608,0.324,0,0,0,13.05374675
28340,44.012047,-92.08986,-6,342.33334,7.7949286,0.1152,0,0,0,21.92911688
28341,44.007946,-91.93718,-6,350.42856,7.3842764,0.67409986,42,69.1358,1.0980909,24.8635779
28342,44.003693,-91.784515,-6,345,7.6942205,0.0441,0,0,0,34.44305192
28348,43.974876,-90.86902,-6,264.5,6.6257825,4.8420005,132,29.522276,2.524644,5.375512986
28349,43.96953,-90.71652,-6,280.5,6.8277745,1.494,30,20.92488,16.27808,17.19374675
